year,ages,parity,percentage
2012-13,35-39,8,0.9552745165749145
2012-13,35-39,9,0.3862908349472093
2012-13,35-39,10,0.22697089274353716
2012-13,35-39,11,0.05978664981844038
2012-13,35-39,12,0.0
2012-13,35-39,13,0.0
2012-13,35-39,14,0.0
2012-13,35-39,15,0.0
2012-13,35-39,16,0.0
2012-13,35-39,17,0.0
2012-13,40-44,0,0.30362501618514093
2012-13,40-44,1,0.3447489399215043
2012-13,40-44,2,0.4681206300745487
2012-13,40-44,3,0.4596624664446252
2012-13,40-44,4,0.7326413381167225
2012-13,40-44,5,0.6612748363393937
2012-13,40-44,6,1.015549216423917
2012-13,40-44,7,1.2553647365044904
2012-13,40-44,8,0.9598822864456437
2012-13,40-44,9,0.6638830346188834
2012-13,40-44,10,0.534324892310857
2012-13,40-44,11,0.17153446300034908
2012-13,40-44,12,0.05341034124557141
2012-13,40-44,13,0.008182735186653347
2012-13,40-44,14,0.0
2012-13,40-44,15,0.005029145513990049
2012-13,40-44,16,0.0
2012-13,40-44,17,0.0
2012-13,45-49,0,0.27770035159550094
2012-13,45-49,1,0.23355492480265114
2012-13,45-49,2,0.3782252141671495
2012-13,45-49,3,0.4839923649146595
2012-13,45-49,4,0.5763629429716935
2012-13,45-49,5,0.6671814251274626
2012-13,45-49,6,0.8210378772065726
2012-13,45-49,7,0.6066670309719061
2012-13,45-49,8,0.7856904009871981
2012-13,45-49,9,0.9368117094398255
2012-13,45-49,10,0.5516242904426566
2012-13,45-49,11,0.25290582829211017
2012-13,45-49,12,0.12811873746914712
2012-13,45-49,13,0.04260356711221252
2012-13,45-49,14,0.0
2012-13,45-49,15,0.0
2012-13,45-49,16,0.0
2012-13,45-49,17,0.0
2014,15-19,0,18.44245474666958
2014,15-19,1,2.6000241695338433
2014,15-19,2,0.4038542005796792
2014,15-19,3,0.02568144480054136
2014,15-19,4,0.0
2014,15-19,5,0.0
2014,15-19,6,0.0
2014,15-19,7,0.0
2014,15-19,8,0.0
2014,15-19,9,0.0
2014,15-19,10,0.0
2014,15-19,11,0.0
2014,15-19,12,0.0
2014,15-19,13,0.0
2014,15-19,14,0.0
2014,15-19,15,0.0
2014,15-19,16,0.0
2014,15-19,17,0.0
2014,20-24,0,9.899932709294406
2014,20-24,1,4.084777491923299
2014,20-24,2,3.3229078285335243
2014,20-24,3,1.5913687458570667
2014,20-24,4,0.5094964619205964
2014,20-24,5,0.09175922624734867
2014,20-24,6,0.03947952466184446
2014,20-24,7,0.009369804578808155
2014,20-24,8,0.0
2014,20-24,9,0.0
2014,20-24,10,0.0
2014,20-24,11,0.0
2014,20-24,12,0.0
2014,20-24,13,0.0
2014,20-24,14,0.0
2014,20-24,15,0.0
2014,20-24,16,0.0
2014,20-24,17,0.0
2014,25-29,0,3.8203854401215875
2014,25-29,1,3.0375148221093897
2014,25-29,2,3.065917638300999
2014,25-29,3,3.5700404078646857
2014,25-29,4,2.5109153085501377
2014,25-29,5,1.2508104581596857
2014,25-29,6,0.4426686568991834
2014,25-29,7,0.05067324538653253
2014,25-29,8,0.01075289838025934
2014,25-29,9,0.0
2014,25-29,10,0.0
2014,25-29,11,0.0
2014,25-29,12,0.0
2014,25-29,13,0.0
2014,25-29,14,0.0
2014,25-29,15,0.0
2014,25-29,16,0.0
2014,25-29,17,0.0
2014,30-34,0,1.6471221868946153
2014,30-34,1,1.9404249955180697
2014,30-34,2,2.325287195324431
2014,30-34,3,2.2138307845036707
2014,30-34,4,2.196348338419772
2014,30-34,5,2.020279084912544
2014,30-34,6,1.1924988643953047
2014,30-34,7,0.4581272693033908
2014,30-34,8,0.28897125813043356
2014,30-34,9,0.11816845145531821
2014,30-34,10,0.029763054196278546
2014,30-34,11,0.016966211391427725
2014,30-34,12,0.0
2014,30-34,13,0.0
2014,30-34,14,0.0
2014,30-34,15,0.0
2014,30-34,16,0.0
2014,30-34,17,0.0
2014,35-39,0,0.7883369941594597
