age,parity,dataset,percentage
45-49,11,DHS 2012-13,0.2529058282921101
45-49,12,DHS 2012-13,0.1281187374691471
45-49,13,DHS 2012-13,0.0426035671122125
15-19,0,DHS 2014,18.44245474666958
15-19,1,DHS 2014,2.6000241695338437
15-19,2,DHS 2014,0.4038542005796792
15-19,3,DHS 2014,0.0256814448005413
20-24,0,DHS 2014,9.899932709294406
20-24,1,DHS 2014,4.084777491923299
20-24,2,DHS 2014,3.3229078285335243
20-24,3,DHS 2014,1.591368745857067
20-24,4,DHS 2014,0.5094964619205964
20-24,5,DHS 2014,0.0917592262473486
20-24,6,DHS 2014,0.0394795246618444
20-24,7,DHS 2014,0.0093698045788081
25-29,0,DHS 2014,3.820385440121588
25-29,1,DHS 2014,3.0375148221093897
25-29,2,DHS 2014,3.065917638300999
25-29,3,DHS 2014,3.5700404078646857
25-29,4,DHS 2014,2.5109153085501377
25-29,5,DHS 2014,1.2508104581596855
25-29,6,DHS 2014,0.4426686568991834
25-29,7,DHS 2014,0.0506732453865325
25-29,8,DHS 2014,0.0107528983802593
30-34,0,DHS 2014,1.647122186894615
30-34,1,DHS 2014,1.9404249955180697
30-34,2,DHS 2014,2.325287195324431
30-34,3,DHS 2014,2.2138307845036707
30-34,4,DHS 2014,2.196348338419772
30-34,5,DHS 2014,2.020279084912544
30-34,6,DHS 2014,1.1924988643953047
30-34,7,DHS 2014,0.4581272693033908
30-34,8,DHS 2014,0.2889712581304335
30-34,9,DHS 2014,0.1181684514553182
30-34,10,DHS 2014,0.0297630541962785
30-34,11,DHS 2014,0.0169662113914277
35-39,0,DHS 2014,0.7883369941594597
35-39,1,DHS 2014,0.9569711745041362
35-39,2,DHS 2014,1.3414919039940396
35-39,3,DHS 2014,1.533181798654517
35-39,4,DHS 2014,1.5521229629520028
35-39,5,DHS 2014,1.3421344935424313
35-39,6,DHS 2014,1.4193140777105795
35-39,7,DHS 2014,1.100663495356924
35-39,8,DHS 2014,0.7092834820632976
35-39,9,DHS 2014,0.321118631403277
35-39,10,DHS 2014,0.1018572353617727
35-39,11,DHS 2014,0.062500401559561
40-44,0,DHS 2014,0.6815454161178878
40-44,1,DHS 2014,0.5947091282146244
40-44,2,DHS 2014,0.4889318291712767
40-44,3,DHS 2014,0.883162961737394
40-44,4,DHS 2014,0.8891132328028141
40-44,5,DHS 2014,1.1412815450133138
40-44,6,DHS 2014,1.0055574146736863
40-44,7,DHS 2014,1.1150530455386618
40-44,8,DHS 2014,0.7625616403093569
40-44,9,DHS 2014,0.5924340574904098
40-44,10,DHS 2014,0.4137688095969356
40-44,11,DHS 2014,0.1019946411132512
40-44,12,DHS 2014,0.1285449831943417
40-44,13,DHS 2014,0.0070782517619655
40-44,14,DHS 2014,0.0207927194635976
45-49,0,DHS 2014,0.1970246379121496
45-49,1,DHS 2014,0.2886976836680239
45-49,2,DHS 2014,0.3500323806850107
45-49,3,DHS 2014,0.5669733596302313
45-49,4,DHS 2014,0.6816373459025732
45-49,5,DHS 2014,0.7641445691752494
45-49,6,DHS 2014,0.8964111947473504
45-49,7,DHS 2014,0.6881879232923386
45-49,8,DHS 2014,0.8991838738677924
45-49,9,DHS 2014,0.61308181936452
45-49,10,DHS 2014,0.3055504761132557
45-49,11,DHS 2014,0.2523310124958396
45-49,12,DHS 2014,0.1854175571431869
45-49,13,DHS 2014,0.011115575106103
45-49,14,DHS 2014,0.0161313386166035
15-19,0,DHS 2015,19.742525854210196
15-19,1,DHS 2015,2.5186618411443957
15-19,2,DHS 2015,0.3660217513206758
20-24,0,DHS 2015,9.208210926564956
20-24,1,DHS 2015,4.430348756416751
20-24,2,DHS 2015,3.179118993708089
20-24,3,DHS 2015,1.3644295678774392
20-24,4,DHS 2015,0.3405904447443751
20-24,5,DHS 2015,0.0074864759216948
20-24,6,DHS 2015,0.0071141790151776
25-29,0,DHS 2015,4.195056625677072
25-29,1,DHS 2015,3.032137774834283
25-29,2,DHS 2015,3.5731298642191787
