"age","edu","parity","cum.percent"
20,19,"6",NA
21,19,"6",0
22,19,"6",NA
23,19,"6",0
24,19,"6",0
25,19,"6",0
26,19,"6",0
27,19,"6",0
28,19,"6",0
29,19,"6",0
30,19,"6",0
31,19,"6",0
32,19,"6",0
33,19,"6",0
34,19,"6",0
35,19,"6",0
36,19,"6",0
37,19,"6",0.00918534247645997
38,19,"6",0
39,19,"6",0
40,19,"6",0.00609736158749846
41,19,"6",0
42,19,"6",0
43,19,"6",0
44,19,"6",0
45,19,"6",0
46,19,"6",0
47,19,"6",0
48,19,"6",0
49,19,"6",0
15,18,"0",0.00186151982888408
16,18,"0",0.00847715641027646
17,18,"0",0.000752542315942427
18,18,"0",0.00155555868116161
19,18,"0",0.00426463448312432
20,18,"0",0.00557592411100925
21,18,"0",0
22,18,"0",0
23,18,"0",0
24,18,"0",0
25,18,"0",0
26,18,"0",0.0273764105717067
27,18,"0",0
28,18,"0",0
29,18,"0",0
30,18,"0",0.0259360426415618
31,18,"0",0
32,18,"0",0
33,18,"0",0
34,18,"0",0
35,18,"0",0
36,18,"0",0
37,18,"0",0
38,18,"0",0
39,18,"0",0
40,18,"0",0
41,18,"0",0
42,18,"0",0
43,18,"0",0.0827926676867699
44,18,"0",0
45,18,"0",0
46,18,"0",0
47,18,"0",0
48,18,"0",0
49,18,"0",0
15,18,"1",0
16,18,"1",0
17,18,"1",0
18,18,"1",0
19,18,"1",0
20,18,"1",0
21,18,"1",0.00439179672270622
22,18,"1",0
23,18,"1",0
24,18,"1",0
25,18,"1",0
26,18,"1",0.0464707009151289
27,18,"1",0
28,18,"1",0.0171023147294262
29,18,"1",0.0674435711519032
30,18,"1",0
31,18,"1",0
32,18,"1",0.0966383320161758
33,18,"1",0
34,18,"1",0
35,18,"1",0
36,18,"1",0
37,18,"1",0
38,18,"1",0
39,18,"1",0
40,18,"1",0
41,18,"1",0
42,18,"1",0
43,18,"1",0
44,18,"1",0
45,18,"1",0
46,18,"1",0
47,18,"1",0
48,18,"1",0
49,18,"1",0
15,18,"2",NA
16,18,"2",0
17,18,"2",0
18,18,"2",0
19,18,"2",0
20,18,"2",0.00153891602159822
21,18,"2",0
22,18,"2",0
23,18,"2",0
24,18,"2",0
25,18,"2",0
26,18,"2",0.0083762413234618
27,18,"2",0
28,18,"2",0
29,18,"2",0.0174856310463151
30,18,"2",0
31,18,"2",0
32,18,"2",0
33,18,"2",0
34,18,"2",0.0459234894677343
35,18,"2",0
36,18,"2",0
37,18,"2",0
38,18,"2",0.064654723289453
39,18,"2",0
40,18,"2",0
41,18,"2",0
42,18,"2",0
43,18,"2",0
44,18,"2",0
45,18,"2",0
46,18,"2",0
47,18,"2",0
48,18,"2",0
49,18,"2",0.0193071524987894
15,18,"3",NA
16,18,"3",NA
17,18,"3",0
18,18,"3",0
19,18,"3",0
20,18,"3",0
21,18,"3",0.00400273413944388
22,18,"3",0
23,18,"3",0
24,18,"3",0.00524222702855971
25,18,"3",0
26,18,"3",0
27,18,"3",0
28,18,"3",0
29,18,"3",0
30,18,"3",0.00357087129781037
31,18,"3",0
32,18,"3",0
33,18,"3",0
34,18,"3",0
35,18,"3",0
36,18,"3",0.0497437775133354
37,18,"3",0
38,18,"3",0
39,18,"3",0.0418840102631037
40,18,"3",0
41,18,"3",0
42,18,"3",0
43,18,"3",0
44,18,"3",0.0482566830781453
45,18,"3",0
46,18,"3",0
47,18,"3",0
48,18,"3",0.0596710574870366
49,18,"3",0
15,18,"4",NA
16,18,"4",NA
17,18,"4",NA
18,18,"4",NA
19,18,"4",0
20,18,"4",0
21,18,"4",0
22,18,"4",0
23,18,"4",0
24,18,"4",0
25,18,"4",0
26,18,"4",0
27,18,"4",0
28,18,"4",0
29,18,"4",0.023717997218881
30,18,"4",0
31,18,"4",0.0161022776693868
32,18,"4",0
33,18,"4",0
34,18,"4",0
35,18,"4",0
36,18,"4",0
37,18,"4",0
38,18,"4",0
39,18,"4",0
40,18,"4",0
41,18,"4",0
42,18,"4",0.00791601432320862
43,18,"4",0
44,18,"4",0
45,18,"4",0
46,18,"4",0
47,18,"4",0
48,18,"4",0
49,18,"4",0
15,18,"5",NA
16,18,"5",NA
17,18,"5",NA
18,18,"5",NA
19,18,"5",NA
20,18,"5",0
21,18,"5",NA
22,18,"5",0
23,18,"5",0
24,18,"5",0
25,18,"5",0
26,18,"5",0
27,18,"5",0
28,18,"5",0.00346500991325984
29,18,"5",0
30,18,"5",0
31,18,"5",0
32,18,"5",0.00338513611403489
33,18,"5",0
34,18,"5",0
35,18,"5",0.00574120104193037
36,18,"5",0
37,18,"5",0
38,18,"5",0
39,18,"5",0
40,18,"5",0
41,18,"5",0
42,18,"5",0
43,18,"5",0
44,18,"5",0
45,18,"5",0
46,18,"5",0
47,18,"5",0
48,18,"5",0
49,18,"5",0
15,18,"6",NA
16,18,"6",NA
17,18,"6",NA
18,18,"6",NA
19,18,"6",NA
20,18,"6",NA
21,18,"6",0
22,18,"6",NA
23,18,"6",0
24,18,"6",0
25,18,"6",0
26,18,"6",0
27,18,"6",0
28,18,"6",0
29,18,"6",0
30,18,"6",0
31,18,"6",0
32,18,"6",0
33,18,"6",0
34,18,"6",0
35,18,"6",0
36,18,"6",0
37,18,"6",0.00918534247645997
38,18,"6",0
39,18,"6",0
40,18,"6",0.00609736158749846
41,18,"6",0
42,18,"6",0
43,18,"6",0
44,18,"6",0
45,18,"6",0
46,18,"6",0
47,18,"6",0
48,18,"6",0
49,18,"6",0
15,17,"0",0.00186151982888408
16,17,"0",0.00847715641027646
17,17,"0",0.000752542315942427
18,17,"0",0.00155555868116161
19,17,"0",0.0143837586930508
20,17,"0",0.00557592411100925
21,17,"0",0
22,17,"0",0
23,17,"0",0
24,17,"0",0
25,17,"0",0
26,17,"0",0.077604796973994
27,17,"0",0
28,17,"0",0
29,17,"0",0.0571866401260542
30,17,"0",0.0259360426415618
