rhs,Estimate,Std. Error,t value,Pr(>|t|),region
"age_grp(20,25]:prior_userTRUE",-0.8522358759943741,1.5757604414677573,-0.5408410146408744,0.5906533388496557,Sidama
"age_grp(25,35]",3.1612141178773663,0.45768842960154593,6.9069128984306065,3.8877823878199755e-9,Sidama
"age_grp(25,35]:prior_userTRUE",-0.881645245650725,1.4760124066832256,-0.5973156063314441,0.5525822864185421,Sidama
"age_grp(35,50]",2.504557786390413,0.42842444530368423,5.8459731087825375,2.3263086350649872e-7,Sidama
"age_grp(35,50]:prior_userTRUE",0.11731869792044033,1.5208428127658284,0.07714058082510362,0.9387727168322213,Sidama
prior_userTRUE,3.079439064342512,1.4701514212454652,2.094640742335038,0.040506397176792136,Sidama
(Intercept),-21.649801025424942,0.14439697128723586,-149.93251473646873,8.392584154548862e-77,Somali
"age_grp(18,20]",17.846365903312048,1.0152211064311547,17.578797160795894,6.576119144701707e-25,Somali
"age_grp(20,25]",17.56000917967186,0.549335773075383,31.965894158620863,1.5928457903626725e-38,Somali
"age_grp(25,35]",17.74806172078739,0.6288700070011449,28.22214690349365,1.4223533184505042e-35,Somali
"age_grp(25,35]:prior_userTRUE",5.12671792554764,1.6986270066860958,3.0181540181381625,0.0037744828215351624,Somali
"age_grp(35,50]",0.021067688499593108,0.08745708350049582,0.24089173405232145,0.8104885483716924,Somali
"age_grp(35,50]:prior_userTRUE",-0.07357063337544816,1.4698341252435636,-0.05005369797306679,0.9602515748750968,Somali
prior_userTRUE,0.32978141799850313,1.0180718286404438,0.3239274565124749,0.7471581913463787,Somali
(Intercept),-4.003885983653532,0.42894859490958187,-9.334186033404567,3.1830768087772153e-13,South
"age_grp(18,20]",2.403355284716928,0.4574386139308239,5.25394055404421,2.1460186526810943e-6,South
"age_grp(18,20]:prior_userTRUE",0.16282644376141822,1.2162115311621717,0.13388003615277896,0.8939530701340795,South
"age_grp(20,25]",2.9079595000311054,0.453200530789674,6.416496236145543,2.6077037509640237e-8,South
"age_grp(20,25]:prior_userTRUE",-0.8522358759943741,1.5757604414677573,-0.5408410146408744,0.5906533388496557,South
"age_grp(25,35]",3.1612141178773663,0.45768842960154593,6.9069128984306065,3.8877823878199755e-9,South
"age_grp(25,35]:prior_userTRUE",-0.881645245650725,1.4760124066832256,-0.5973156063314441,0.5525822864185421,South
"age_grp(35,50]",2.504557786390413,0.42842444530368423,5.8459731087825375,2.3263086350649872e-7,South
"age_grp(35,50]:prior_userTRUE",0.11731869792044033,1.5208428127658284,0.07714058082510362,0.9387727168322213,South
prior_userTRUE,3.079439064342512,1.4701514212454652,2.094640742335038,0.040506397176792136,South
(Intercept),-4.003885983653532,0.42894859490958187,-9.334186033404567,3.1830768087772153e-13,South West
"age_grp(18,20]",2.403355284716928,0.4574386139308239,5.25394055404421,2.1460186526810943e-6,South West
"age_grp(18,20]:prior_userTRUE",0.16282644376141822,1.2162115311621717,0.13388003615277896,0.8939530701340795,South West
"age_grp(20,25]",2.9079595000311054,0.453200530789674,6.416496236145543,2.6077037509640237e-8,South West
"age_grp(20,25]:prior_userTRUE",-0.8522358759943741,1.5757604414677573,-0.5408410146408744,0.5906533388496557,South West
"age_grp(25,35]",3.1612141178773663,0.45768842960154593,6.9069128984306065,3.8877823878199755e-9,South West
"age_grp(25,35]:prior_userTRUE",-0.881645245650725,1.4760124066832256,-0.5973156063314441,0.5525822864185421,South West
"age_grp(35,50]",2.504557786390413,0.42842444530368423,5.8459731087825375,2.3263086350649872e-7,South West
"age_grp(35,50]:prior_userTRUE",0.11731869792044033,1.5208428127658284,0.07714058082510362,0.9387727168322213,South West
prior_userTRUE,3.079439064342512,1.4701514212454652,2.094640742335038,0.040506397176792136,South West
(Intercept),-3.1420991408481624,0.35975524573543793,-8.733991173429185,8.976794478810546e-12,Tigray
"age_grp(18,20]",1.9516079466971386,0.36823138302327973,5.2999500766988055,2.391484256800628e-6,Tigray
"age_grp(18,20]:prior_userTRUE",-1.7716836482742606,0.919649869835707,-1.9264762670936573,0.0595186071309142,Tigray
"age_grp(20,25]",2.4601260154355105,0.3574209114750318,6.882994073522099,7.604870219728106e-9,Tigray
"age_grp(20,25]:prior_userTRUE",-1.3589734826221185,0.9114345061081338,-1.491027027740036,0.14199611844181154,Tigray
"age_grp(25,35]",2.2263234427274914,0.3478946956706312,6.399417612377913,4.481701961392846e-8,Tigray
"age_grp(25,35]:prior_userTRUE",-1.0985181666285309,0.8885939628718447,-1.2362431127466056,0.221923305275392,Tigray
"age_grp(35,50]",1.1718266289680612,0.40618508521071933,2.884957305510479,0.005685257869594796,Tigray
"age_grp(35,50]:prior_userTRUE",-0.019271217307285295,0.9471406087040989,-0.0203467332412794,0.9838446494441996,Tigray
prior_userTRUE,2.711899953513478,0.7917076337847988,3.425380579632789,0.0012063906478059557,Tigray
