"region","wt","age","afb"
"addis_ababa",0.459105,21,Inf
"addis_ababa",0.503123,21,Inf
"addis_ababa",0.503123,21,Inf
"addis_ababa",0.699948,21,Inf
"addis_ababa",0.699948,21,21
"addis_ababa",0.699948,21,Inf
"addis_ababa",0.478881,21,Inf
"addis_ababa",0.419123,21,Inf
"addis_ababa",0.419123,21,20
"addis_ababa",0.419123,21,Inf
"addis_ababa",0.419123,21,Inf
"addis_ababa",0.520776,21,Inf
"addis_ababa",0.520776,21,21
"addis_ababa",0.662023,21,Inf
"addis_ababa",0.947789,21,Inf
"addis_ababa",0.947789,21,20
"addis_ababa",0.37311,21,Inf
"addis_ababa",0.37311,21,Inf
"addis_ababa",0.37311,21,Inf
"addis_ababa",0.37311,21,Inf
"addis_ababa",0.37311,21,Inf
"addis_ababa",0.411802,21,Inf
"addis_ababa",0.411802,21,Inf
"addis_ababa",0.411802,21,Inf
"addis_ababa",0.485141,21,Inf
"addis_ababa",0.489805,21,Inf
"addis_ababa",0.489805,21,Inf
"addis_ababa",0.450923,21,Inf
"addis_ababa",0.427583,21,Inf
"addis_ababa",0.708431,21,Inf
"addis_ababa",0.708431,21,Inf
"addis_ababa",0.564132,21,Inf
"addis_ababa",0.388463,21,17
"addis_ababa",0.591263,21,20
"addis_ababa",0.487009,21,Inf
"addis_ababa",0.479933,21,Inf
"addis_ababa",0.479933,21,Inf
"addis_ababa",0.442586,21,Inf
"addis_ababa",0.442586,21,Inf
"addis_ababa",0.463521,21,Inf
"addis_ababa",0.463521,21,Inf
"addis_ababa",0.685395,21,20
"addis_ababa",0.685395,21,Inf
"addis_ababa",0.462503,22,Inf
"addis_ababa",0.349625,22,Inf
"addis_ababa",0.55862,22,Inf
"addis_ababa",0.382735,22,Inf
"addis_ababa",0.527982,22,Inf
"addis_ababa",0.527982,22,Inf
"addis_ababa",0.406922,22,Inf
"addis_ababa",0.406922,22,Inf
"addis_ababa",0.447048,22,Inf
"addis_ababa",0.672066,22,Inf
"addis_ababa",0.672066,22,19
"addis_ababa",0.545426,22,Inf
"addis_ababa",0.363043,22,Inf
"addis_ababa",0.363043,22,Inf
"addis_ababa",0.571531,22,Inf
"addis_ababa",0.509047,22,Inf
"addis_ababa",0.509047,22,Inf
"addis_ababa",0.503123,22,18
"addis_ababa",0.571436,22,Inf
"addis_ababa",0.449799,22,Inf
"addis_ababa",0.449799,22,Inf
"addis_ababa",0.449799,22,Inf
"addis_ababa",0.559482,22,Inf
"addis_ababa",0.699948,22,Inf
"addis_ababa",0.478881,22,Inf
"addis_ababa",0.478881,22,Inf
"addis_ababa",0.478881,22,19
"addis_ababa",0.419123,22,Inf
"addis_ababa",0.419123,22,18
"addis_ababa",0.419123,22,16
"addis_ababa",0.419123,22,Inf
"addis_ababa",0.520776,22,Inf
"addis_ababa",0.662023,22,22
"addis_ababa",0.662023,22,Inf
"addis_ababa",0.111606,22,18
"addis_ababa",0.411063,22,Inf
"addis_ababa",0.947789,22,Inf
"addis_ababa",0.947789,22,Inf
"addis_ababa",0.37311,22,Inf
"addis_ababa",0.404154,22,Inf
"addis_ababa",0.404154,22,Inf
"addis_ababa",0.404154,22,Inf
"addis_ababa",0.540588,22,Inf
"addis_ababa",0.957685,22,Inf
"addis_ababa",0.957685,22,Inf
"addis_ababa",0.957685,22,16
"addis_ababa",0.957685,22,Inf
"addis_ababa",0.643373,22,Inf
"addis_ababa",0.643373,22,Inf
"addis_ababa",0.627089,22,Inf
"addis_ababa",0.627089,22,Inf
"addis_ababa",0.450923,22,Inf
"addis_ababa",0.427583,22,Inf
"addis_ababa",0.708431,22,Inf
"addis_ababa",0.479933,22,Inf
"addis_ababa",0.479933,22,Inf
"addis_ababa",0.548271,22,Inf
"addis_ababa",0.548271,22,22
"addis_ababa",0.430932,22,18
"addis_ababa",0.442586,22,Inf
"addis_ababa",0.637581,22,Inf
"addis_ababa",0.463521,22,Inf
"addis_ababa",0.462503,23,Inf
"addis_ababa",0.556598,23,Inf
"addis_ababa",0.556598,23,Inf
"addis_ababa",0.556598,23,Inf
"addis_ababa",0.418612,23,Inf
"addis_ababa",0.418612,23,Inf
"addis_ababa",0.349625,23,Inf
"addis_ababa",0.596064,23,Inf
"addis_ababa",0.596064,23,Inf
"addis_ababa",0.596064,23,Inf
"addis_ababa",0.596064,23,Inf
"addis_ababa",0.596064,23,22
"addis_ababa",0.55862,23,Inf
"addis_ababa",0.463867,23,Inf
"addis_ababa",0.527982,23,Inf
"addis_ababa",0.527982,23,Inf
"addis_ababa",0.527982,23,Inf
"addis_ababa",0.406922,23,22
"addis_ababa",0.406922,23,Inf
"addis_ababa",0.447048,23,21
"addis_ababa",0.672066,23,Inf
"addis_ababa",0.545426,23,Inf
"addis_ababa",0.363043,23,Inf
"addis_ababa",0.363043,23,Inf
"addis_ababa",0.363043,23,Inf
"addis_ababa",0.459105,23,Inf
"addis_ababa",0.459105,23,Inf
"addis_ababa",0.509047,23,Inf
"addis_ababa",0.509047,23,20
"addis_ababa",0.489765,23,Inf
"addis_ababa",0.571436,23,Inf
"addis_ababa",0.571436,23,Inf
"addis_ababa",0.699948,23,Inf
"addis_ababa",0.419123,23,Inf
"addis_ababa",0.419123,23,Inf
"addis_ababa",0.419123,23,Inf
"addis_ababa",0.419123,23,Inf
"addis_ababa",0.520776,23,18
"addis_ababa",0.520776,23,21
"addis_ababa",0.662023,23,Inf
"addis_ababa",0.111606,23,Inf
"addis_ababa",0.411063,23,Inf
"addis_ababa",0.947789,23,23
"addis_ababa",0.37311,23,Inf
"addis_ababa",0.37311,23,Inf
"addis_ababa",0.37311,23,Inf
