"region","age","parity","Freq","percentage"
"harari","20-24","2",1.419849,3.68951613060395
"harari","20-24","3",0.528186,1.37250564458557
"harari","20-24","4",0.437095,1.13580321083885
"harari","20-24","5",0.051196,0.13303419435616
"harari","20-24","6",0,0
"harari","25-29","0",1.136093,2.95216846958108
"harari","25-29","1",1.033091,2.68451497932651
"harari","25-29","2",1.986624,5.16229633816338
"harari","25-29","3",1.074229,2.7914131879253
"harari","25-29","4",0.683158,1.77520458918599
"harari","25-29","5",0.499412,1.29773562527929
"harari","25-29","6",0.272618,0.70840526597757
"harari","30-34","0",0.347088,0.901917580488533
"harari","30-34","1",0.595062,1.54628474415902
"harari","30-34","2",0.864891,2.24744271800324
"harari","30-34","3",1.030995,2.67906846648624
"harari","30-34","4",0.842578,2.18946178240927
"harari","30-34","5",0.765874,1.99014435831569
"harari","30-34","6",1.112119,2.88987138044337
"harari","35-39","0",0.546179,1.41926094302784
"harari","35-39","1",0.126235,0.328025070797521
"harari","35-39","2",0.968344,2.51626814398823
"harari","35-39","3",0.706836,1.83673251429664
"harari","35-39","4",0.896392,2.32929892076153
"harari","35-39","5",0.60807,1.58008638491582
"harari","35-39","6",1.04014,2.70283199698446
"harari","40-44","0",0.307648,0.79943167093687
"harari","40-44","1",0.322103,0.836993380434063
"harari","40-44","2",0.415488,1.07965683539051
"harari","40-44","3",0.683573,1.77628297794014
"harari","40-44","4",0.654368,1.70039299344581
"harari","40-44","5",0.309245,0.803581518745034
"harari","40-44","6",0.854248,2.21978659388158
"harari","45-49","0",0.217199,0.564397491600196
"harari","45-49","1",0.228727,0.594353312221687
"harari","45-49","2",0.204622,0.531715816031452
"harari","45-49","3",0.364901,0.948205144049481
"harari","45-49","4",0.239258,0.621718401306082
"harari","45-49","5",0.129996,0.337798131290011
"harari","45-49","6",0.331263,0.860795888839064
"oromia","15-19","0",1032.149373,18.1050704471192
"oromia","15-19","1",168.272559,2.95169150387308
"oromia","15-19","2",30.60398,0.53682851373706
"oromia","15-19","3",3.456862,0.0606372795190077
"oromia","15-19","4",0,0
"oromia","15-19","5",0,0
"oromia","15-19","6",0,0
"oromia","20-24","0",292.971795,5.13905751071359
"oromia","20-24","1",292.159923,5.12481635518073
"oromia","20-24","2",237.603389,4.16783288238192
"oromia","20-24","3",108.898353,1.91020060101345
"oromia","20-24","4",56.932832,0.998666434411528
"oromia","20-24","5",5.953601,0.104432912850338
"oromia","20-24","6",0,0
"oromia","25-29","0",92.566965,1.62372953590025
"oromia","25-29","1",180.163227,3.1602673044644
"oromia","25-29","2",180.938266,3.1738623674091
"oromia","25-29","3",220.746788,3.87214898566362
"oromia","25-29","4",168.247217,2.95124697645556
"oromia","25-29","5",125.473496,2.20094740524183
"oromia","25-29","6",93.819137,1.6456940527279
"oromia","30-34","0",31.016454,0.544063775437505
"oromia","30-34","1",36.523139,0.640657274850593
"oromia","30-34","2",81.322415,1.42648737771879
"oromia","30-34","3",156.706979,2.74881811544755
"oromia","30-34","4",172.656354,3.02858823934272
"oromia","30-34","5",181.249504,3.17932183486917
"oromia","30-34","6",264.594801,4.64129285679128
"oromia","35-39","0",42.69246,0.748874161124758
"oromia","35-39","1",19.572533,0.343324423831788
"oromia","35-39","2",49.550066,0.869164346805652
"oromia","35-39","3",66.049445,1.15858216455859
"oromia","35-39","4",89.937631,1.57760803590782
"oromia","35-39","5",141.713455,2.48581470201568
"oromia","35-39","6",292.804747,5.13612729936322
"oromia","40-44","0",4.448916,0.0780390316560469
"oromia","40-44","1",16.41256,0.287894914041256
"oromia","40-44","2",23.134146,0.405799154677142
"oromia","40-44","3",35.310546,0.619387018565039
"oromia","40-44","4",42.705916,0.749110194623697
"oromia","40-44","5",53.449129,0.937558333315157
"oromia","40-44","6",252.229974,4.42439976964948
"oromia","45-49","0",13.859752,0.24311576686837
